full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data,sentiment
@RandomWorldWar Waktu testride kemarin yg pameran kendaraan listrik nih mobil rasanya kayak gak ada suspensi,Waktu testride kemarin yg pameran kendaraan listrik nih mobil rasanya kayak gak ada suspensi,waktu testride kemarin yg pameran kendaraan listrik nih mobil rasanya kayak gak ada suspensi,"['waktu', 'testride', 'kemarin', 'yg', 'pameran', 'kendaraan', 'listrik', 'nih', 'mobil', 'rasanya', 'kayak', 'gak', 'ada', 'suspensi']","['testride', 'kemarin', 'yg', 'pameran', 'kendaraan', 'listrik', 'nih', 'mobil', 'kayak', 'gak', 'suspensi']",testride kemarin yg pamer kendara listrik nih mobil kayak gak suspensi,1
@RandomWorldWar Safety concern juga kacau ini kayaknya. Control unit interior panel bodi lebih mirip mobil aki dibanding mobil kelasnya yg proper mobil listrik meskipun ukurannya mirip2. Seingat saya dulu mau dijual 70-100jt an napa gede bener naik harganya,Safety concern juga kacau ini kayaknya Control unit interior panel bodi lebih mirip mobil aki dibanding mobil kelasnya yg proper mobil listrik meskipun ukurannya mirip Seingat saya dulu mau dijual jt an napa gede bener naik harganya,safety concern juga kacau ini kayaknya control unit interior panel bodi lebih mirip mobil aki dibanding mobil kelasnya yg proper mobil listrik meskipun ukurannya mirip seingat saya dulu mau dijual jt an napa gede bener naik harganya,"['safety', 'concern', 'juga', 'kacau', 'ini', 'kayaknya', 'control', 'unit', 'interior', 'panel', 'bodi', 'lebih', 'mirip', 'mobil', 'aki', 'dibanding', 'mobil', 'kelasnya', 'yg', 'proper', 'mobil', 'listrik', 'meskipun', 'ukurannya', 'mirip', 'seingat', 'saya', 'dulu', 'mau', 'dijual', 'jt', 'an', 'napa', 'gede', 'bener', 'naik', 'harganya']","['safety', 'concern', 'kacau', 'kayaknya', 'control', 'unit', 'interior', 'panel', 'bodi', 'mobil', 'aki', 'dibanding', 'mobil', 'kelasnya', 'yg', 'proper', 'mobil', 'listrik', 'ukurannya', 'dijual', 'jt', 'an', 'napa', 'gede', 'bener', 'harganya']",safety concern kacau kayak control unit interior panel bodi mobil aki banding mobil kelas yg proper mobil listrik ukur jual jt an napa gede bener harga,1
@RandomWorldWar Manfaatin momen lagi hype mobil listrik lalu kasih harga gak ngotak,Manfaatin momen lagi hype mobil listrik lalu kasih harga gak ngotak,manfaatin momen lagi hype mobil listrik lalu kasih harga gak ngotak,"['manfaatin', 'momen', 'lagi', 'hype', 'mobil', 'listrik', 'lalu', 'kasih', 'harga', 'gak', 'ngotak']","['manfaatin', 'momen', 'hype', 'mobil', 'listrik', 'kasih', 'harga', 'gak', 'ngotak']",manfaatin momen hype mobil listrik kasih harga gak ngotak,1
@tanyakanrl rel kereta memiliki emisi elektromagnetik / medan magnet karena ada arus listrik. paparan medan magnet yang terjadi saat kereta melintasi rel dapat memengaruhi ECU pada mobil sehingga mesin mobil bisa tiba-tiba mati saat melintas di atas rel kereta.,rel kereta memiliki emisi elektromagnetik  medan magnet karena ada arus listrik paparan medan magnet yang terjadi saat kereta melintasi rel dapat memengaruhi ECU pada mobil sehingga mesin mobil bisa tibatiba mati saat melintas di atas rel kereta,rel kereta memiliki emisi elektromagnetik  medan magnet karena ada arus listrik paparan medan magnet yang terjadi saat kereta melintasi rel dapat memengaruhi ecu pada mobil sehingga mesin mobil bisa tibatiba mati saat melintas di atas rel kereta,"['rel', 'kereta', 'memiliki', 'emisi', 'elektromagnetik', 'medan', 'magnet', 'karena', 'ada', 'arus', 'listrik', 'paparan', 'medan', 'magnet', 'yang', 'terjadi', 'saat', 'kereta', 'melintasi', 'rel', 'dapat', 'memengaruhi', 'ecu', 'pada', 'mobil', 'sehingga', 'mesin', 'mobil', 'bisa', 'tibatiba', 'mati', 'saat', 'melintas', 'di', 'atas', 'rel', 'kereta']","['rel', 'kereta', 'memiliki', 'emisi', 'elektromagnetik', 'medan', 'magnet', 'arus', 'listrik', 'paparan', 'medan', 'magnet', 'kereta', 'melintasi', 'rel', 'memengaruhi', 'ecu', 'mobil', 'mesin', 'mobil', 'tibatiba', 'mati', 'melintas', 'rel', 'kereta']",rel kereta milik emisi elektromagnetik medan magnet arus listrik papar medan magnet kereta lintas rel pengaruh ecu mobil mesin mobil tibatiba mati lintas rel kereta,1
@ARSIPAJA Imajinasi yg tdk sinkron. Semua karena ngayal tok. Bukan bicara cetak biru. Ada mobil terbang tapi masih pakai tiang listrik? Padahal IKN dibangun dari nol. Kenapa tidak pakai kabel bawah tanah untuk aliran listrik? Aneh,Imajinasi yg tdk sinkron Semua karena ngayal tok Bukan bicara cetak biru Ada mobil terbang tapi masih pakai tiang listrik Padahal IKN dibangun dari nol Kenapa tidak pakai kabel bawah tanah untuk aliran listrik Aneh,imajinasi yg tdk sinkron semua karena ngayal tok bukan bicara cetak biru ada mobil terbang tapi masih pakai tiang listrik padahal ikn dibangun dari nol kenapa tidak pakai kabel bawah tanah untuk aliran listrik aneh,"['imajinasi', 'yg', 'tdk', 'sinkron', 'semua', 'karena', 'ngayal', 'tok', 'bukan', 'bicara', 'cetak', 'biru', 'ada', 'mobil', 'terbang', 'tapi', 'masih', 'pakai', 'tiang', 'listrik', 'padahal', 'ikn', 'dibangun', 'dari', 'nol', 'kenapa', 'tidak', 'pakai', 'kabel', 'bawah', 'tanah', 'untuk', 'aliran', 'listrik', 'aneh']","['imajinasi', 'yg', 'tdk', 'sinkron', 'ngayal', 'tok', 'bicara', 'cetak', 'biru', 'mobil', 'terbang', 'pakai', 'tiang', 'listrik', 'ikn', 'dibangun', 'nol', 'pakai', 'kabel', 'tanah', 'aliran', 'listrik', 'aneh']",imajinasi yg tdk sinkron ngayal tok bicara cetak biru mobil terbang pakai tiang listrik ikn bangun nol pakai kabel tanah alir listrik aneh,1
@adarwis Leave the world behind.. mobil tesla malfungsi.. ketika mobil listrik cacat ketika di kendarai.. lu auto ga selamat bos.. ga bisa ngapa in..,Leave the world behind mobil tesla malfungsi ketika mobil listrik cacat ketika di kendarai lu auto ga selamat bos ga bisa ngapa in,leave the world behind mobil tesla malfungsi ketika mobil listrik cacat ketika di kendarai lu auto ga selamat bos ga bisa ngapa in,"['leave', 'the', 'world', 'behind', 'mobil', 'tesla', 'malfungsi', 'ketika', 'mobil', 'listrik', 'cacat', 'ketika', 'di', 'kendarai', 'lu', 'auto', 'ga', 'selamat', 'bos', 'ga', 'bisa', 'ngapa', 'in']","['leave', 'the', 'world', 'behind', 'mobil', 'tesla', 'malfungsi', 'mobil', 'listrik', 'cacat', 'kendarai', 'lu', 'auto', 'ga', 'selamat', 'bos', 'ga', 'ngapa', 'in']",leave the world behind mobil tesla malfungsi mobil listrik cacat kendara lu auto ga selamat bos ga ngapa in,1
@ARSIPAJA Lama-lama nih IKN akan berakhir seperti Saranjana dan Mentira saking futuristiknya nih kota sampai tiang listrik bisa jawab arah... Ujung-ujungnya akan berakhir jadi kota gaib baru di Kalimantan.... Mobil gaibnya juga udah ada khan ESEMKA lah namanya,Lamalama nih IKN akan berakhir seperti Saranjana dan Mentira saking futuristiknya nih kota sampai tiang listrik bisa jawab arah Ujungujungnya akan berakhir jadi kota gaib baru di Kalimantan Mobil gaibnya juga udah ada khan ESEMKA lah namanya,lamalama nih ikn akan berakhir seperti saranjana dan mentira saking futuristiknya nih kota sampai tiang listrik bisa jawab arah ujungujungnya akan berakhir jadi kota gaib baru di kalimantan mobil gaibnya juga udah ada khan esemka lah namanya,"['lamalama', 'nih', 'ikn', 'akan', 'berakhir', 'seperti', 'saranjana', 'dan', 'mentira', 'saking', 'futuristiknya', 'nih', 'kota', 'sampai', 'tiang', 'listrik', 'bisa', 'jawab', 'arah', 'ujungujungnya', 'akan', 'berakhir', 'jadi', 'kota', 'gaib', 'baru', 'di', 'kalimantan', 'mobil', 'gaibnya', 'juga', 'udah', 'ada', 'khan', 'esemka', 'lah', 'namanya']","['lamalama', 'nih', 'ikn', 'saranjana', 'mentira', 'saking', 'futuristiknya', 'nih', 'kota', 'tiang', 'listrik', 'arah', 'ujungujungnya', 'kota', 'gaib', 'kalimantan', 'mobil', 'gaibnya', 'udah', 'khan', 'esemka', 'namanya']",lamalama nih ikn saranjana mentira saking futuristik nih kota tiang listrik arah ujungujungnya kota gaib kalimantan mobil gaib udah khan esemka nama,1
@ARSIPAJA Masih pake tiang listrik?? Padahal ada konsep mobil terbang. Ini koq makin kesana makin kesini yaak? Samar-samar tercium aroma ngibulization,Masih pake tiang listrik Padahal ada konsep mobil terbang Ini koq makin kesana makin kesini yaak Samarsamar tercium aroma ngibulization,masih pake tiang listrik padahal ada konsep mobil terbang ini koq makin kesana makin kesini yaak samarsamar tercium aroma ngibulization,"['masih', 'pake', 'tiang', 'listrik', 'padahal', 'ada', 'konsep', 'mobil', 'terbang', 'ini', 'koq', 'makin', 'kesana', 'makin', 'kesini', 'yaak', 'samarsamar', 'tercium', 'aroma', 'ngibulization']","['pake', 'tiang', 'listrik', 'konsep', 'mobil', 'terbang', 'koq', 'kesana', 'kesini', 'yaak', 'samarsamar', 'tercium', 'aroma', 'ngibulization']",pake tiang listrik konsep mobil terbang koq kesana kesini yaak samarsamar cium aroma ngibulization,1
@maulanafikri455 Disalip mobil listrik,Disalip mobil listrik,disalip mobil listrik,"['disalip', 'mobil', 'listrik']","['disalip', 'mobil', 'listrik']",salip mobil listrik,1
@txtdalansae @adarwis Sebenernya mobil kalau dr tweet d atas yg ditakutkan kan AI nya. Toh ga semua mobil listrik AI nya sekomplek tesla. Air ev wuling kan ya biasa2 aja. Cenderung naik bombomcar versi advance,Sebenernya mobil kalau dr tweet d atas yg ditakutkan kan AI nya Toh ga semua mobil listrik AI nya sekomplek tesla Air ev wuling kan ya biasa aja Cenderung naik bombomcar versi advance,sebenernya mobil kalau dr tweet d atas yg ditakutkan kan ai nya toh ga semua mobil listrik ai nya sekomplek tesla air ev wuling kan ya biasa aja cenderung naik bombomcar versi advance,"['sebenernya', 'mobil', 'kalau', 'dr', 'tweet', 'd', 'atas', 'yg', 'ditakutkan', 'kan', 'ai', 'nya', 'toh', 'ga', 'semua', 'mobil', 'listrik', 'ai', 'nya', 'sekomplek', 'tesla', 'air', 'ev', 'wuling', 'kan', 'ya', 'biasa', 'aja', 'cenderung', 'naik', 'bombomcar', 'versi', 'advance']","['sebenernya', 'mobil', 'dr', 'tweet', 'd', 'yg', 'ditakutkan', 'ai', 'nya', 'ga', 'mobil', 'listrik', 'ai', 'nya', 'sekomplek', 'tesla', 'air', 'ev', 'wuling', 'ya', 'aja', 'cenderung', 'bombomcar', 'versi', 'advance']",sebenernya mobil dr tweet d yg takut ai nya ga mobil listrik ai nya sekomplek tesla air ev wuling ya aja cenderung bombomcar versi advance,1
